,Unnamed: 0,Unnamed: 0.1,make_model,short_description,price,km,hp,Type,First Registration,Body Color,Body,Gearing Type,Displacement,Fuel,CO2 Emission,Emission Class,consumption_comb,consumption_city,consumption_country,door_number,First_Registration
5994,5994,5994,Opel Astra,ST 1.6 CDTI Edition Navi Shz PDC Bluetooth,9680,153519,100.0,Used,2017.0,Black,Station wagon,Automatic,1.598,DIESEL,,Euro 6,,,,4,2017
5995,5995,5995,Opel Astra,1.6 CDTi 136CV Start&Stop Sports Tourer Bus. Premi,9700,140000,100.0,Used,2016.0,White,Station wagon,Automatic,1.598,DIESEL,104,Euro 6,3.9,4.7,3.5,5,2016
5996,5996,5996,Opel Astra,K ST 1.6 CDTI Edition Navi PDC Shz,9480,152635,100.0,Used,2016.0,Black,Station wagon,Automatic,1.598,DIESEL,,,,,,4,2016
5997,5997,5997,Opel Astra,K ST 1.6 CDTI Business Edition Navi LED,9450,187864,100.0,Used,2016.0,Black,Station wagon,Automatic,1.598,DIESEL,,Euro 6,,,,4,2016
5998,5998,5998,Opel Astra,K ST 1.6 CDTI Business Ed. PDC Klima Shz,9480,142348,100.0,Used,2016.0,White,Station wagon,Automatic,1.598,DIESEL,,,,,,4,2016
5999,5999,5999,Opel Astra,K ST 1.6 CDTI Innovation Leder Navi AHK,8980,230928,100.0,Used,2016.0,Black,Station wagon,Automatic,1.598,DIESEL,,,,,,4,2016
6000,6000,6000,Opel Astra,1.6 CDTi 136CV aut. 5 porte Innova,6500,80000,100.0,Used,2016.0,Grey,Sedans,Automatic,1.598,DIESEL,119,Euro 6,4.5,5.6,3.9,5,2016
6001,6001,6001,Opel Astra,K ST 1.6 CDTI Edition Tempomat MFL PDC,8980,138031,100.0,Used,2016.0,Black,Station wagon,Automatic,1.598,DIESEL,,Euro 6,,,,4,2016
6002,6002,6002,Opel Astra,WAGON ST 1.6 CDTI Business Premium 136cv AT6,10550,112388,100.0,Used,2016.0,Grey,Station wagon,Automatic,1.598,DIESEL,,,,,,4,2016
6003,6003,6003,Opel Astra,1.6 D (CDTI) Start/Stop Sports Tourer Business,16150,5563,100.0,Used,2018.0,Gold,Station wagon,Manual,1.598,DIESEL,101,Euro 6,3.8,4.5,3.4,5,2018
6004,6004,6004,Opel Astra,"J Sports Tourer 1. Hand, Scheckh, HU Neu!",7690,168475,100.0,Used,2016.0,Black,Station wagon,Manual,1.598,DIESEL,103,Euro 6,3.9,4.6,3.6,4,2016
6005,6005,6005,Opel Astra,1.6 CDTi S/S Elegance 100  (136 CV),8450,78000,74.0,Used,2016.0,White,Compact,Manual,1.598,DIESEL,104,Euro 6,3.9,4.6,3.6,4,2016
6006,6006,6006,Opel Astra,1.6 CDTi 110 CV Selective,9490,60500,81.0,Used,2016.0,Grey,Other,Manual,1.598,DIESEL,97,Euro 6,3.7,4.2,3.3,5,2016
6007,6007,6007,Opel Astra,K 1.4 SIDI Turbo Innovation Aut. *NAVI*,15990,21379,110.0,Used,2017.0,Grey,Sedans,Automatic,1.399,BENZINE,124,Euro 6,5.4,7.1,4.4,4,2017
6008,6008,6008,Opel Astra,K 1.6 ST Aut+NAV900+PDC+KLIMA+FRONTCAM+1HD,15999,23036,100.0,Used,2018.0,Grey,Station wagon,Automatic,1.598,DIESEL,119,Euro 6,4.5,5.7,3.8,4,2018
6009,6009,6009,Opel Astra,1.6 D Start/Stop Sports Tourer Edition,9490,115800,81.0,Used,2016.0,Beige,Station wagon,Manual,1.598,DIESEL,92,Euro 6,3.5,4.0,3.2,4,2016
6010,6010,6010,Opel Astra,1.6 CDTI DPF ecoFLEX Sports TourerStart/Stop Editi,8700,85000,81.0,Used,2016.0,Blue,Station wagon,Manual,1.598,DIESEL,97,Euro 6,3.7,3.9,3.5,5,2016
6011,6011,6011,Opel Astra,1.6 CDTi 110CV Start&Stop Sports Tourer Innovation,9900,156460,81.0,Used,2016.0,Blue,Station wagon,Manual,1.598,DIESEL,95,Euro 6,3.6,4.0,3.3,5,2016
6012,6012,6012,Opel Astra,1.0 Turbo 105c,9700,86276,77.0,Used,2016.0,Grey,Compact,Manual,1.0,BENZINE,,,,,,5,2016
6013,6013,6013,Opel Astra,Sedán 1.6CDTi S/S Elegance 110,9895,92589,81.0,Used,2016.0,Grey,Sedans,Manual,1.598,DIESEL,97,Euro 6d-TEMP,3.7,3.9,3.5,4,2016
6014,6014,6014,Opel Astra,1.6 CDTi 110CV Start&Stop Sports Tourer Business,9900,110005,81.0,Used,2016.0,Grey,Station wagon,Manual,1.598,DIESEL,95,Euro 6,3.6,4.0,3.3,5,2016
6015,6015,6015,Opel Astra,1.6 CDTi 110CV Start&Stop Sports Tourer Business,9900,110005,81.0,Used,2016.0,Grey,Station wagon,Manual,1.598,DIESEL,95,Euro 6,3.6,4.0,3.3,5,2016
6016,6016,6016,Opel Astra,1.6CDTi S/S Selective 110,9900,120000,81.0,Used,2017.0,Blue,Sedans,Manual,1.598,DIESEL,107,Euro 6d-TEMP,3.7,4.2,3.3,5,2017
6017,6017,6017,Opel Astra,"1,6 CDTI Ecotec Cool&Sound",10452,68527,70.0,Used,2016.0,White,Sedans,Manual,1.598,DIESEL,,Euro 6,,,,5,2016
6018,6018,6018,Opel Astra,Sports Tourer Astra ST Edition 1.6 CDTI ecoFLEX Ko,10480,129934,81.0,Used,2017.0,Silver,Station wagon,Manual,1.598,DIESEL,95,Euro 6,3.5,4.0,3.2,5,2017
6019,6019,6019,Opel Astra,Sports Tourer Astra ST Edition 1.6 CDTI ecoFLEX Ko,10480,129934,81.0,Used,2017.0,Silver,Station wagon,Manual,1.598,DIESEL,95,Euro 6,3.5,4.0,3.2,5,2017
6020,6020,6020,Opel Astra,Sports Tourer 1.6 CDTI 110 BUSINESS CONNECT+GPS,10390,80972,81.0,Used,2016.0,Grey,Station wagon,Manual,1.598,DIESEL,94,,3.6,4.0,3.3,5,2016
